security_id,underlying_symbol_raw,effective_from,effective_to,lot_size,source_as_of_date,source_contract_file,source_sha256,evidence_status
SEC_bafbd005f1c58839,NYKAA,2025-04-24,2026-08-12,3125,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bb274ba9a45a9cd8,COROMANDEL,2024-10-31,2025-02-25,350,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bb274ba9a45a9cd8,COROMANDEL,2024-07-01,2024-10-30,700,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bc225c43ae87b844,DIXON,2024-10-31,2026-08-12,50,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bc225c43ae87b844,DIXON,2024-07-01,2024-10-30,100,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bd2af9e79df96bf4,ONGC,2024-07-01,2025-06-25,1925,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bd2af9e79df96bf4,ONGC,2025-04-24,2026-08-12,2250,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bd359de483c9164a,ALKEM,2024-07-01,2025-06-25,100,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bd359de483c9164a,ALKEM,2025-04-24,2026-08-12,125,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_be31aad734814ab6,DABUR,2024-07-01,2026-08-12,1250,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_beb702314fdd37a8,ICICIPRULI,2024-10-31,2025-06-25,750,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_beb702314fdd37a8,ICICIPRULI,2025-04-24,2026-08-12,925,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_beb702314fdd37a8,ICICIPRULI,2024-07-01,2024-10-30,1500,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bf472969e73703c5,SRF,2025-04-24,2026-08-12,200,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bf472969e73703c5,SRF,2024-07-01,2025-06-25,375,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
